#Name	MOD_ID	Description	Monoisotopic mass	Site	MOD	UnimodID	PSI-MS Name	Interim name	Description	Monoisotopic mass	Average mass	Composition
acetylk	24	acetylation of K	42.01	K	ACET_core	1	Acetyl	Acetyl	Acetylation	42.010565	42.0367	H(2) C(2) O
arg-13c6	136	heavy arginine-13C6	6.02	R	-	188	Label:13C(6)	13C6	13C(6) Silac label	6.020129	5.9559	C(-6) 13C(6)
arg-13c6-15n4	137	heavy arginine-13C6-15N4	10.01	R	-	267	Label:13C(6)15N(4)	13C6-15N4	13C(6) 15N(4) Silac label	10.008269	9.9296	C(-6) 13C(6) N(-4) 15N(4)
arg2orn	163	arginine to ornithine	-42.02	R	-	372	Arg->Orn	Arg2Orn	Ornithine from Arginine	-42.021798	-42.04	H(-2) C(-1) N(-2)
beta-elim-s	140	beta elimination of S	-18.01	S	-	23	Dehydrated	Phospho+PL	Dehydration	-18.010565	-18.0153	H(-2) O(-1)
beta-elim-t	141	beta elimination of T	-18.01	T	-	23	Dehydrated	Phospho+PL	Dehydration	-18.010565	-18.0153	H(-2) O(-1)
bmethylthiold	26	beta-methylthiolation of D (duplicate of 13)	45.99	D	-	39	Methylthio	b-methylthiol	Beta-methylthiolation	45.987721	46.0916	H(2) C S
carbamidomethylc	3	carbamidomethyl C	57.02	C	Cys_CAM	4	Carbamidomethyl	Carbamidomethyl	Iodoacetamide derivative	57.021464	57.0513	H(3) C(2) N O
carbamidomethyld	29	carboxyamidomethylation of D	57.02	D	-	4	Carbamidomethyl	Carbamidomethyl	Iodoacetamide derivative	57.021464	57.0513	H(3) C(2) N O
carbamidomethyle	30	carboxyamidomethylation of E	57.02	E	-	4	Carbamidomethyl	Carbamidomethyl	Iodoacetamide derivative	57.021464	57.0513	H(3) C(2) N O
carbamidomethylk	27	carboxyamidomethylation of K	57.02	K	-	4	Carbamidomethyl	Carbamidomethyl	Iodoacetamide derivative	57.021464	57.0513	H(3) C(2) N O
carbamidometylh	28	carboxyamidomethylation of H	57.02	H	-	4	Carbamidomethyl	Carbamidomethyl	Iodoacetamide derivative	57.021464	57.0513	H(3) C(2) N O
carbamylk	31	carbamylation of K	43.01	K	CAM_core	5	Carbamyl	Carbamyl	Carbamylation	43.005814	43.0247	H C N O
carboxykynurenin	165	carboxykynurenin of W	47.98	W	-	345	Trioxidation	Cysteic_acid	cysteine oxidation to cysteic acid	47.984744	47.9982	O(3)
carboxymethylc	2	carboxymethyl C	58.01	C	Cys_CM	6	Carboxymethyl	Carboxymethyl	Iodoacetic acid derivative	58.005479	58.0361	H(2) C(2) O(2)
citrullinationr	33	citrullination of R	0.98	R	-	7	Deamidated	Deamidation	Deamidation	0.984016	0.9848	H(-1) N(-1) O
ctermamide	25	amidation of peptide c-term	-0.98	]	AMID	2	Amidated	Amide	Amidation	-0.984016	-0.9848	H N O(-1)
ctermpepdio18	88	di-O18 on peptide n-term	4.01	[	-	193	Label:18O(2)	double_O18	O18 label at both C-terminal oxygens	4.008491	3.9995	O(-2) 18O(2)
ctermpephselactm	57	homoserine lactone	-48	M	-	11	Met->Hsl	Hse_lact	Homoserine lactone	-48.003371	-48.1075	H(-4) C(-1) S(-1)
ctermpephsem	56	homoserine	-29.99	M	-	10	Met->Hse	HSe	Homoserine	-29.992806	-30.0922	H(-2) C(-1) O S(-1)
ctermpepmeester	68	methyl ester of peptide c-term (duplicate of 18)	14.02	]	-	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
ctermpepmethyl	18	methylation of peptide c-term	14.02	]	METH_cterm	34	Methyl	Methyl	Methylation	14.01565	14.0266	H(2) C
ctermpepo18	87	O18 on peptide c-term	2	]	O18	258	Label:18O(1)	O18_STY	O18 Labeling	2.004246	1.9998	O(-1) 18O
ctermpeptrideuteromethyl	21	tri-deuteromethylation of peptide c-term	17.03	]	-	298	Methyl:2H(3)	D3-Me-ester	deuterated methyl ester	17.03448	17.0451	H(-1) 2H(3) C
cysteicacidc	34	oxidation of C to cysteic acid	47.98	C	-	345	Trioxidation	Cysteic_acid	cysteine oxidation to cysteic acid	47.984744	47.9982	O(3)
deamidationkq	4	deamidation of N and Q	0.98	Q	DEAMID	7	Deamidated	Deamidation	Deamidation	0.984016	0.9848	H(-1) N(-1) O
dehydro	164	dehydro of S and T	-18.01	T	-	23	Dehydrated	Phospho+PL	Dehydration	-18.010565	-18.0153	H(-2) O(-1)
dihydroxyf	39	oxidation of F to dihydroxyphenylalanine	31.99	F	-	425	Dioxidation	dihydroxy	dihydroxy	31.989829	31.9988	O(2)
dimethylk	36	di-methylation of K	28.03	K	-	36	Dimethyl	di-Methylation	di-Methylation	28.0313	28.0532	H(4) C(2)
dimethylr	37	di-methylation of R	28.03	R	-	36	Dimethyl	di-Methylation	di-Methylation	28.0313	28.0532	H(4) C(2)
formylk	43	formylation of K	27.99	K	-	122	Formyl	Formyl	Formylation	27.994915	28.0101	C O
formylkynureninw	45	oxidation of W to formylkynurenin	31.99	W	-	425	Dioxidation	dihydroxy	dihydroxy	31.989829	31.9988	O(2)
gammacarboxyld	47	beta-carboxylation of D	43.99	D	-	299	Carboxy	carboxyl	Carboxylation	43.989829	44.0095	C O(2)
gammacarboxyle	48	gamma-carboxylation of E	43.99	E	GGLU	299	Carboxy	carboxyl	Carboxylation	43.989829	44.0095	C O(2)
guanidinationk	53	guanidination of K	42.02	K	Guanidination	52	Guanidinyl	Guanidination	Guanidination	42.021798	42.04	H(2) C N(2)
his2asnh	54	oxidation of H to N	-23.02	H	-	348	His->Asn	His2Asn	His->Asn substitution	-23.015984	-23.0366	H(-1) C(-2) N(-1) O
his2asph	55	oxidation of H to D	-22.03	D	-	349	His->Asp	His2Asp	His->Asp substitution	-22.031969	-22.0519	H(-2) C(-2) N(-2) O(2)
hydroxykynureninw	58	oxidation of W to hydroxykynurenin	19.99	W	-	350	Trp->Hydroxykynurenin	hydroxykynurenin	tryptophan oxidation to hydroxykynurenin	19.989829	19.9881	C(-1) O(2)
hydroxylationd	59	hydroxylation of D	15.99	D	HYDR	35	Oxidation	Hydroxylation	Oxidation or Hydroxylation	15.994915	15.9994	O
hydroxylationf	63	hydroxylation of F	15.99	F	-	35	Oxidation	Hydroxylation	Oxidation or Hydroxylation	15.994915	15.9994	O
hydroxylationk	60	hydroxylation of K	15.99	K	HYDR	35	Oxidation	Hydroxylation	Oxidation or Hydroxylation	15.994915	15.9994	O
hydroxylationn	61	hydroxylation of N	15.99	N	HYDR	35	Oxidation	Hydroxylation	Oxidation or Hydroxylation	15.994915	15.9994	O
hydroxylationp	62	hydroxylation of P	15.99	P	HYDR	35	Oxidation	Hydroxylation	Oxidation or Hydroxylation	15.994915	15.9994	O
hydroxylationy	64	hydroxylation of  Y	15.99	Y	-	35	Oxidation	Hydroxylation	Oxidation or Hydroxylation	15.994915	15.9994	O
kynureninw	66	oxidation of W to kynurenin	3.99	W	-	351	Trp->Kynurenin	kynurenin	tryptophan oxidation to kynurenin	3.994915	3.9887	C(-1) O
lys-13c6	138	heavy lysine-13C6	6.02	K	-	188	Label:13C(6)	13C6	13C(6) Silac label	6.020129	5.9559	C(-6) 13C(6)
lys-13C615N2	181	heavy lysine - 13C6 15N2	8.01	K	-	259	Label:13C(6)15N(2)	13C6-15N2	13C(6) 15N(2) Silac label	8.014199	7.9427	C(-6) 13C(6) N(-2) 15N(2)
